spl_id,Main ingredient,Ingredients
8c95390f-f204-41d4-a7c8-22a37a5a04ef,7-KETO-DEHYDROEPIANDROSTERONE,"7-KETO-DEHYDROEPIANDROSTERONE, ACETALDEHYDE, ALDOSTERONE, ANDROSTERONE, CHOLESTEROL, CORTISONE ACETATE, DOPAMINE HYDROCHLORIDE, ESTRONE, FOLLITROPIN, PRASTERONE, PROGESTERONE, SUS SCROFA OVARY, TESTOSTERONE"
59254820-d31d-4663-849c-36ede6c40be9,7-OXODEHYDROEPIANDROSTERONE 3-ACETATE,"7-OXODEHYDROEPIANDROSTERONE 3-ACETATE, ADENOSINE TRIPHOSPHATE DISODIUM, CYNANCHUM VINCETOXICUM ROOT, ECHINACEA ANGUSTIFOLIA WHOLE, GAMBOGE, GRAPHITE, INSULIN PORK, LACTIC ACID, L-, METHYLCOBALAMIN, PHYTOLACCA AMERICANA ROOT, PORK KIDNEY, PORK LIVER, PROTEUS VULGARIS, STRYCHNOS NUX-VOMICA SEED, SUS SCROFA HYPOTHALAMUS, SUS SCROFA PANCREAS"
1ea3a366-c7c0-2e89-e063-6294a90a2419,ABACAVIR SULFATE,ABACAVIR SULFATE
ab2fcc7c-0902-487b-ac76-d720d57a02e8,ABATACEPT,ABATACEPT
079d9002-6f1c-efe6-e063-6394a90a70ba,ABELMOSCHUS MOSCHATUS SEED,ABELMOSCHUS MOSCHATUS SEED
60562e25-17f8-4891-86db-cb74512ce44c,ABIRATERONE ACETATE,ABIRATERONE ACETATE
39348c48-a987-4d47-b44a-6a32266f6d8b,ABROCITINIB,ABROCITINIB
017f025d-6fca-ec96-e063-6394a90a4e44,ABRUS PRECATORIUS SEED,"ABRUS PRECATORIUS SEED, ACONITUM NAPELLUS, AETHUSA CYNAPIUM, ALETRIS FARINOSA ROOT, ALFALFA, ALLYLTHIOUREA, ALPINE STRAWBERRY, AMANITA MUSCARIA FRUITING BODY, AMBROSIA ARTEMISIIFOLIA, ANACARDIUM OCCIDENTALE FRUIT, ANEMONE PULSATILLA, APIS MELLIFERA, ARSENIC TRIOXIDE, ARTEMISIA VULGARIS ROOT, ARUNDO PLINIANA ROOT, ASCORBIC ACID, ASTACUS ASTACUS, ATROPA BELLADONNA, AVENA SATIVA FLOWERING TOP, BELLIS PERENNIS, BLACK MUSTARD SEED, BROMINE, BRYONIA ALBA ROOT, CAFFEINE, CALLUNA VULGARIS FLOWERING TOP, CANIS LUPUS FAMILIARIS HAIR, CAPSICUM, CHELIDONIUM MAJUS, CINNAMON, CLAVICEPS PURPUREA SCLEROTIUM, CORN SILK, COW MILK, CYNARA SCOLYMUS LEAF, DATURA STRAMONIUM, DROSERA ANGLICA, DYSPHANIA AMBROSIOIDES, ECHINACEA, UNSPECIFIED, EGG SHELL, COOKED, ELYMUS REPENS ROOT, EUPHRASIA STRICTA, FAGOPYRUM ESCULENTUM, FAGUS SYLVATICA NUT, FELIS CATUS HAIR, FRAXINUS AMERICANA BARK, GARLIC, GELSEMIUM SEMPERVIRENS ROOT, GINGER, GLYCYRRHIZA GLABRA, GOLDENSEAL, HELIANTHEMUM CANADENSE, HISTAMINE DIHYDROCHLORIDE, HOUSE DUST, HYOSCYAMUS NIGER, JUGLANS REGIA LEAF, JUNIPERUS VIRGINIANA TWIG, LACTOSE, UNSPECIFIED FORM, LILIUM LANCIFOLIUM WHOLE FLOWERING, LYCOPERDON UTRIFORME FRUITING BODY, LYCOPODIUM CLAVATUM SPORE, LYCOPUS VIRGINICUS, MATRICARIA CHAMOMILLA, MENTHA PIPERITA, NUTMEG, ONION, ONOSMODIUM VIRGINIANUM, OYSTER SHELL CALCIUM CARBONATE, CRUDE, PARTHENIUM HYSTEROPHORUS, PHYTOLACCA AMERICANA ROOT, POPULUS BALSAMIFERA LEAF BUD, POPULUS TREMULOIDES LEAF, POTASSIUM IODIDE, PROTORTONIA CACTI, PTELEA TRIFOLIATA BARK, QUERCUS ROBUR NUT, RHODODENDRON TOMENTOSUM LEAFY TWIG, ROSA X DAMASCENA FLOWERING TOP, SACCHARIN, SACCHAROMYCES CEREVISIAE, SALIX NIGRA BARK, SAMBUCUS NIGRA FLOWERING TOP, SANGUINARIA CANADENSIS ROOT, SCHOENOCAULON OFFICINALE SEED, SODIUM CHLORIDE, SODIUM NITRATE, SOLANUM DULCAMARA TOP, SOLANUM LYCOPERSICUM, SOLANUM NIGRUM WHOLE, SOLANUM TUBEROSUM, SUCROSE, SULFUR, TARAXACUM OFFICINALE, TOBACCO LEAF, TOXICODENDRON PUBESCENS LEAF, TRILLIUM ERECTUM ROOT, ULMUS RUBRA BARK, URTICA URENS, USTILAGO MAYDIS, WYETHIA HELENIOIDES ROOT, XEROPHYLLUM ASPHODELOIDES, YUCCA FILAMENTOSA"
09bed6d1-db40-47c4-e063-6394a90a88bf,ACACIA DEALBATA POLLEN,"ACACIA DEALBATA POLLEN, ACER NEGUNDO POLLEN, ACER SACCHARUM POLLEN, AMARANTHUS PALMERI POLLEN, AMARANTHUS RETROFLEXUS POLLEN, AMARANTHUS SPINOSUS POLLEN, AMARANTHUS TUBERCULATUS POLLEN, AMBROSIA ACANTHICARPA POLLEN, AMBROSIA ARTEMISIIFOLIA POLLEN, AMBROSIA BIDENTATA POLLEN, AMBROSIA CONFERTIFLORA POLLEN, AMBROSIA PSILOSTACHYA POLLEN, AMBROSIA TRIFIDA POLLEN, ANTHOXANTHUM ODORATUM POLLEN, ARTEMISIA TRIDENTATA POLLEN, ARTEMISIA VULGARIS POLLEN, ATRIPLEX WRIGHTII POLLEN, AVENA SATIVA POLLEN, BAPTISIA TINCTORIA ROOT, BASSIA SCOPARIA POLLEN, BETULA NIGRA POLLEN, BROUSSONETIA PAPYRIFERA POLLEN, CARYA ILLINOINENSIS POLLEN, CARYA OVATA POLLEN, CELTIS OCCIDENTALIS POLLEN, CHENOPODIUM ALBUM POLLEN, CYCLACHAENA XANTHIFOLIA POLLEN, DISTICHLIS SPICATA POLLEN, ECHINACEA ANGUSTIFOLIA ROOT, EUCALYPTUS GLOBULUS POLLEN, EUPATORIUM CAPILLIFOLIUM POLLEN, FAGUS GRANDIFOLIA POLLEN, FRAXINUS AMERICANA POLLEN, FRAXINUS VELUTINA POLLEN, GOLDENSEAL, HESPEROCYPARIS ARIZONICA POLLEN, HOLCUS LANATUS POLLEN, JUGLANS NIGRA POLLEN, JUNIPERUS ASHEI POLLEN, JUNIPERUS OCCIDENTALIS POLLEN, JUNIPERUS VIRGINIANA POLLEN, LIGUSTRUM VULGARE POLLEN, LIQUIDAMBAR STYRACIFLUA POLLEN, MELALEUCA QUINQUENERVIA POLLEN, MORUS ALBA POLLEN, MORUS RUBRA POLLEN, MYRICA CERIFERA POLLEN, MYRRH, NASTURTIUM OFFICINALE, OLEA EUROPAEA POLLEN, PASPALUM NOTATUM POLLEN, PHYTOLACCA AMERICANA ROOT, PINUS ECHINATA POLLEN, PINUS STROBUS POLLEN, PLANTAGO LANCEOLATA POLLEN, PLATANUS OCCIDENTALIS POLLEN, POA PRATENSIS POLLEN, POPULUS ALBA POLLEN, POPULUS DELTOIDES SUBSP. DELTOIDES POLLEN, POPULUS DELTOIDES SUBSP. MONILIFERA POLLEN, POPULUS NIGRA POLLEN, PROSOPIS JULIFLORA POLLEN, QUERCUS ALBA POLLEN, QUERCUS GAMBELII POLLEN, QUERCUS MACROCARPA POLLEN, QUERCUS NIGRA POLLEN, QUERCUS RUBRA POLLEN, QUERCUS STELLATA POLLEN, QUERCUS VIRGINIANA POLLEN, RUMEX ACETOSELLA POLLEN, RUMEX CRISPUS POLLEN, SALIX NIGRA POLLEN, SALSOLA KALI POLLEN, SCHINUS MOLLE POLLEN, SECALE CEREALE POLLEN, SOLIDAGO CANADENSIS POLLEN, SORGHUM HALEPENSE POLLEN, SYAGRUS ROMANZOFFIANA POLLEN, TAXODIUM DISTICHUM POLLEN, TRITICUM AESTIVUM POLLEN, ULMUS AMERICANA POLLEN, URTICA DIOICA POLLEN, URTICA URENS WHOLE, XANTHIUM STRUMARIUM POLLEN, ZEA MAYS POLLEN"
b5a760a9-9d5f-93e7-e053-2a95a90a739a,ACACIA POLLEN,"ACACIA POLLEN, ACER NEGUNDO POLLEN, ACER RUBRUM POLLEN, ACER SACCHARINUM POLLEN, AGROSTIS GIGANTEA POLLEN, AILANTHUS ALTISSIMA POLLEN, ALNUS INCANA SUBSP. RUGOSA POLLEN, AMARANTHUS PALMERI POLLEN, AMARANTHUS RETROFLEXUS POLLEN, AMARANTHUS SPINOSUS POLLEN, AMARANTHUS TUBERCULATUS POLLEN, AMBROSIA ARTEMISIIFOLIA POLLEN, AMBROSIA PSILOSTACHYA POLLEN, AMBROSIA TRIFIDA POLLEN, AMPHIACHYRIS DRACUNCULOIDES POLLEN, ARRHENATHERUM ELATIUS POLLEN, ARTEMISIA ANNUA POLLEN, ARTEMISIA FRIGIDA POLLEN, ARTEMISIA TRIDENTATA POLLEN, ARTEMISIA VULGARIS POLLEN, ATRIPLEX CANESCENS POLLEN, AVENA SATIVA POLLEN, BACCHARIS HALIMIFOLIA POLLEN, BAPTISIA TINCTORIA ROOT, BASSIA SCOPARIA POLLEN, BETULA LENTA POLLEN, BETULA NIGRA POLLEN, BETULA PAPYRIFERA POLLEN, BROMUS INERMIS POLLEN, BROUSSONETIA PAPYRIFERA POLLEN, CARYA ALBA POLLEN, CARYA CORDIFORMIS POLLEN, CARYA GLABRA POLLEN, CARYA ILLINOINENSIS POLLEN, CARYA OVATA POLLEN, CELTIS OCCIDENTALIS POLLEN, CHENOPODIUM ALBUM POLLEN, CHENOPODIUM AMBROSIOIDES POLLEN, CUPRESSUS ARIZONICA POLLEN, CYCLACHAENA XANTHIFOLIA POLLEN, CYNODON DACTYLON POLLEN, DACTYLIS GLOMERATA POLLEN, ECHINACEA, UNSPECIFIED, ELYMUS REPENS POLLEN, FAGUS GRANDIFOLIA POLLEN, FENUGREEK LEAF, FESTUCA PRATENSIS POLLEN, FRAXINUS AMERICANA POLLEN, FRAXINUS PENNSYLVANICA POLLEN, FRAXINUS VELUTINA POLLEN, GOLDENSEAL, IVA ANGUSTIFOLIA POLLEN, IVA ANNUA POLLEN, JUGLANS NIGRA POLLEN, JUNIPERUS ASHEI POLLEN, JUNIPERUS VIRGINIANA POLLEN, KOELERIA MACRANTHA POLLEN, LIGUSTRUM VULGARE POLLEN, LIQUIDAMBAR STYRACIFLUA POLLEN, LOLIUM MULTIFLORUM POLLEN, LOLIUM PERENNE POLLEN, MORUS ALBA POLLEN, MORUS RUBRA POLLEN, MYRRH, NASTURTIUM OFFICINALE, PASCOPYRUM SMITHII POLLEN, PHALARIS ARUNDINACEA POLLEN, PHLEUM PRATENSE POLLEN, PHYTOLACCA AMERICANA ROOT, PICEA PUNGENS POLLEN, PINUS NIGRA POLLEN, PINUS SYLVESTRIS POLLEN, PINUS TAEDA POLLEN, PLANTAGO LANCEOLATA POLLEN, PLATANUS OCCIDENTALIS POLLEN, POA ANNUA POLLEN, POPULUS ALBA POLLEN, POPULUS DELTOIDES POLLEN, POPULUS DELTOIDES SUBSP. MONILIFERA POLLEN, POPULUS NIGRA POLLEN, PROSOPIS JULIFLORA POLLEN, QUERCUS ALBA POLLEN, QUERCUS MACROCARPA POLLEN, QUERCUS RUBRA POLLEN, QUERCUS STELLATA POLLEN, QUERCUS VELUTINA POLLEN, RUMEX CRISPUS POLLEN, RUMEX OBTUSIFOLIUS POLLEN, SALIX NIGRA POLLEN, SALSOLA TRAGUS POLLEN, SOLIDAGO CANADENSIS POLLEN, SORGHUM BICOLOR POLLEN, SORGHUM HALEPENSE POLLEN, SORGHUM X DRUMMONDII POLLEN, TAXODIUM DISTICHUM POLLEN, TRITICUM AESTIVUM POLLEN, ULMUS AMERICANA POLLEN, ULMUS CRASSIFOLIA POLLEN, ULMUS PUMILA POLLEN, URTICA DIOICA POLLEN, XANTHIUM STRUMARIUM POLLEN, ZEA MAYS POLLEN"
